0,1,2,3,4
"Temperature
(°C)","UTS
(MPa)","YS
(MPa)","Elongation
(%)","E
(GPa)"
24,559,531,7.2,95.5
150,469,455,4.2,-
230,407,393,6.0,-
315,303,297,6.8,-
