0,1,2,3
Properties,,"MetGraf
4‐230","MetGraf
7‐200"
Matrix alloy,,Al/Si,Al/Si
Ultimate tensile strength (MPa):,"In-plane (x-
y)",103,93
,"Thickness
(z)",-,0
Ultimate compressive strength (MPa),,203,203
Flexural strength (MPa),,186,159
"Yield stress, compression (MPa)",,110,110
Young’s modulus (GPa),,98,89
Density (kg/m3),,2400,2500
"Thermal expansion, average
value of 55°C to +125°C
(ppm/K):","In-plane (x-
y)",4,7
,"Thickness
(z)",24,24
Thermal conductivity (W/mK):,"In-plane (x-
y)",230,200
,"Thickness
(z)",120,125
Electrical resistivity (µ.ohm.cm),,–,6.89
Hardness (Rockwell E),,–,60-80
Suppliers’ data.,,,
