0,1,2
ET ‐ External Tank,Mass (kg),Missions
"SWT 
(Standard Weight Tank)",34246   (75 500 lbs),"STS-1 to STS-5 (1) 
STS-7"
"LWT (2) 
(Light Weight Tank)",29710   (65 500 lbs),"STS-6 
STS-8 to STS-90"
"SLWT (3) 
(Super Lightweight Tank)",26308   (58 000 lbs),STS-91 (June 1998)
"Key:  
(1) ETs were painted white for missions STS‐1 and STS‐2. From STS‐3 onwards, they were no longer 
painted to save weight and preparation costs. 
 
(2) Materials and design changes, plus new fabrication techniques. 
 
(3) Component redesign and use of 2195 aluminium‐lithium alloy.",,
