0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Material,,,Source,,,Tensile,,,Yield,,,Elong,
,,,,Machine,,,(MPa),,,(MPa),,,(%),
,GRCop-84,,,Extruded,,,368,,,197,,,27,
,GRCop-84,,,"SLM, M2",,,390,,,208,,,30,
,GRCop-42,,,Extruded,,,354,,,200,,,30,
,GRCop-42,,,"SLM, M2",,,359,,,173,,,32.2,
,GRCop-42,,,"SLM, M400",,,355,,,172,,,33.6,
