0,1,2,3,4
,8090‐T8511,,8090‐T82,
,UTS (MPa),YS (MPa),UTS (MPa),YS (MPa)
A-value(1),505,434,515,441
B-value(1),517,449,523,453
Average,532,468,534,468
"Standard 
deviation",10.3,12.9,6.9,9.7
"Key:  
(1) ‘A’ and ‘B’ values are available from the suppliers for many of the other alloys referred to in 
this handbook, Ref. [46‐62].",,,,
