0,1,2
"ESA Metallurgy 
Report No.",Material type,"Proposed 
classification(1) (2)"
1338,8090-T651 (25 mm plate),class 3
1474,8090-T8771 (90 mm plate),class 3
1631,"8090-T81 damage tolerant sheet (75% 
PS)",class 3
1632,"8090-T81 damage tolerant sheet (50% 
PS)",class 3
1798,8090-T8  forging,class 3
"Key 
(1) Tests conducted to ESA PSS‐01‐737. This specification has been replaced by ECSS Q‐ST‐70‐37; 
(2) See also: ECSS‐Q‐ST‐70‐36: Materials selection for controlling stress‐corrosion cracking.",,
