0,1
Composition,"Material designation 
[Company]"
BalNi-11.3Al-0.6Zr-0.02B(wt%),IC50 [ORNL]
BalNi-8.5Al-7.8Cr-0.8Zr-0.02B(wt%),IC218 [ORNL]
BalNi-8.5Al-7.8Cr-1.7Zr-0.02B(wt%),IC221 [ORNL]
BalNi-16.6Al-8Cr-1.0Zr-0.1B(wt%),IC264 [ORNL]
BalNi-23Al-1.0Hf-0.2B(at%),IC72 [ORNL]
BalNi-21.5Al-0.5Hf-0.18B(at%),IC145 [ORNL]
77Ni-22.5Al-0.5Hf + 0.1B(at%),IC137 [ORNL]
66Ni-24Al-10Co + 0.25B(at%),Research Alloy [GE]
66Ni-24Al-10Co + 0.75B(at%),Research Alloy [GE]
76.4Ni-23.1Al-0.5Hf + 0.10B(at%),Research Alloy [GE]
"Key:  
  Bal ‐ Balance;    at% ‐ Atomic percent;     wt% ‐ Weight percent",
