0,1
MetPreg™ alumina reinforced aluminium ‘prepreg’ tape,
Characteristics:,
Matrix,Pure Al
Reinforcement fibre,Nextel 610
Fibre content (Volume %),50
Thickness (mm),0.5
Width (mm),9.5
Density (kg/m3),3300
Properties:,
"Tensile strength, at RT (MPa)",1500
"Tensile modulus, at RT (GPa)",215
"Compressive strength, at RT (MPa)",2070
Elongation (%),0.7
Maximum use temperature(1) (C),400
Thermal expansion (ppm/ºC),7
Thermal conductivity (W/mK),115
Electrical resistivity (µohm.cm),5
"Key: 
MetPreg™ is a tradename of TRL – Touchstone Research Laboratory (USA). 
Nextel is a tradename of 3M Corp. 
(1) 85% of the room temperature tensile strength.",
