0,1,2,3,4,5,6,7,8,9,10,11
Alloy,Fe,Ni,Cr,Mo,V,W,Co,Ti,Al,Mn,Md
"Wrought 
NASA HR–1",38.90,34.10,15.50,2.40,0.30,2.20,3.50,2.80,0.30,–,0.928
"LP–DED NASA HR–1 
*Initial Formulation",39.80,34.00,15.50,2.20,0.32,2.10,3.30,2.50,0.25,–,0.922
"LP–DED NASA HR–1 
*Final Formulation",41.20,34.00,14.60,1.80,0.30,1.60,3.80,2.40,0.25,–,0.913
Wrought A–286,55.20,25.00,15.00,1.30,0.30,–,–,2.00,–,1.50,0.912
Wrought JBK–75,51.13,30.20,14.75,1.25,0.30,–,–,2.10,0.25,–,0.910
