0,1
Density (g/cm3),8.44
Specific Heat (J/g*K),0.434
Coefficient of Thermal Expansion (10-6/K),11.8
Thermal Conductivity (W/m*K),10.55
Thermal Diffusivity (Cm2/s),0.0295
Poisson’s Ratio,0.24
Young’s Modulus (GPa),190.6
