0,1,2,3
Sheet,Temper,Alloy Category,"LT SCC threshold, [MPa]"
"8090
8090","T81
T6/T8","damage tolerant
medium strength","200
> 350"
"Thin plate
8090
8090","Temper
T651
T8771","ST threshold stress, [MPa] (Al test 3.5% NaCl)
50-75
140",
"Forging
8090","Temper
T652","Threshold stress, [MPa]
200",
