0,1,2
Alloy,"Temperature
(°C)","Modulus
(GPa)"
IC50,"25
400
600
800
1000
1075
1097","171
150
148
118
93
-
53"
IC218,"25
400
600
800
1000
1075
1097","226
167
-
171
-
80
-"
IC221,"25
400
600
800
1000
1075
1097","216
-
-
-
-
-
-"
