0,1,2,3
Group,Compound,Advantages,Disadvantages †
Aluminide,Nb3Al,Melting point,"Brittle 
Oxidation"
,NbAl3,"Melting point 
Density","Brittle 
Oxidation"
,TiAl3,Density,Brittle
,Ti2AlNb *,"Oxidation (1) 
Creep (1) 
Ductility (2)",[Not stated]
,MoAl3,Melting point,"Brittle 
Oxidation"
Silicide,Ti5Si3,Density,Brittle
,Nb5Si3,Melting point,"Brittle 
Oxidation"
Berylide,Nb2Be17,Melting point,"Brittle 
Oxidation"
,ZrBe13,Melting point,"Brittle 
Oxidation"
"Key:  
†    Oxidation indicates modest resistance to oxygen. 
 
*    Orthorhombic phase 
 
(1)   compared with conventional near‐ titanium alloys. 
 
(2)   compared with ‐TiAl.",,,
