0,1,2
Requirement,"Spaceplane TPS
Nose cone","Gas turbine engine
Exhaust petals"
"Max. temperature
(°C)",1700,"800 + excursions to
1300"
"Life expectancy
(hours)",30,300 - 2000
Thermal cycles,60,2000+
