0,1,2,3,4
Alloy,"Nominal yield
stress [MPa]","SCC test
stress [MPa]",Lifetime [Days],
,,,Initiation,Failure
8090-T8,450,200,>42,>42
,,300,>42,>42
8090C-T3,214,200,>42,>42
,,300,>42,>42
"8090C-
T81",341,200,1,>42
,,300,2,>42
