0,1
Density (g/cm3),8.44
Specific Heat (J/g*K),0.434
Coefficient of Thermal Expansion (10-6/K),10.6
Thermal Conductivity (W/m*K),11.0
Thermal Diffusivity (Cm2/s),0.0299
Poisson’s Ratio,0.234
Young’s Modulus (GPa),188.2
