0,1,2,3,4,5,6,7
Base material or interlayer (Pure),,,,,,,
Aluminium,25.3,69,"69
(0.2%PS: 25)",AD,660,238,-
Silver,20.6,71,140,AD,960,418,-
Copper,18.3,117-132,"220
(0.2%PS: 50)",AD,1083,397,-
Nickel,15.2,210,"323
(0.2%PS: 63)",AD,1452,79,-
Molybdenum,5.1 to 5.7,303,435,900,2615,135,Refractory metal
Niobium,7.2 to 8.1,98,240,1000,2467,52,Refractory metal
Tungsten,4.5,411,550,1200,3387,130,Refractory metal
Titanium,7.6,108,"369
(0.2%PS: 246)",AD,1675,16,-
