0,1,2,3,4,5,6,7,8
,"MetGraf 
7‐200","MetGraf
4‐230",Kovar,Al/SiC,"CuMo
80‐20","CuMo 
85‐15","CuW 
90‐10","CuW 
85‐15"
"Thermal 
conductivit
y 
(W/mK)",200,230,17,180,160,140,160,175
"Thermal 
expansion 
(ppm/K)",7.5,4.0,5.9,6.7,7.2,6.5,6.1,6.7
"Density 
(kg/m3)",2460,2400,8300,3200,9800,9900,1770,1630
