0,1,2,3,4
"Temperature
(°C)","YS
(MPa)","UTS
(MPa)","Elongation
(%)","E
(GPa)"
24,413,462,12.9,88.4
149,345,379,7.2,83.2
232,310,338,8.2,73.1
316,255,276,11.9,65.5
427,138,155,15.1,61.4
