0,1,2,3,4,5,6,7,8,9,10
Alloy,Fe,Ni,Cr,Mo,V,W,Co,Ti,Al,Aging cycle
"LP-DED NASA HR–1
(Initial formulation)",39.80,34.00,15.50,2.20,0.32,2.10,3.30,2.50,0.25,"1275 °F/16h
+ 1150 °F/16h"
"Wrought
NASA HR–1",38.90,34.10,15.50,2.40,0.30,2.20,3.50,2.80,0.30,1325 °F/16h
"LP-DED NASA HR–1
(Final formulation)",41.20,34.00,14.60,1.80,0.30,1.60,3.80,2.40,0.25,"1275 °F/16h
+ 1150 °F/16h"
