0,1,2,3,4,5
"Temp. 
[°C]",,"Ti48A12Cr (IM) 
Near Gamma","Ti48Al2Cr2Nb (PM) 
Primary Annealed 
Near Gamma",,
100,,10.67,10.49,10.57,
200,,10.98,10.80,10.78,
300,,11.25,11.06,11.00,
400,,11.51,11.29,11.23,
500,,11.75,11.52,11.47,
600,,12.00,11.75,11.73,
700,,12.27,12.01,12.01,
800,,12.57,12.31,12.31,
900,,12.90,12.68,12.65,
1000,,13.29,13.12,13.02,
1100,,13.74,13.66,13.42,
1200,,14.27,14.31,13.87,
"Thermal linear expansion  
CTE [1/K x 10-6] 
15
14
13
12
11
10","Ti48A12Cr (IM) Near Gamma
Ti48Al2Cr2Nb (PM) Primary Annealed
Ti48Al2Cr2Nb (PM) Near Gamma
0
200
400
600
800
1000
1200
Temperature [°C]",,,,1400
