0,1,2,3
LP-DED NASA HR–1 (initial formulation) – Density: 8.025 g/cm3,,,
"Temperature 
(°C)","Thermal Diffusivity 
(mm2/sec)","Specific Heat 
(J/gK)","Thermal Conductivity 
(W/mK)"
51,3.45,–,12.67
123,3.34,0.480,12.676
181,3.60,0.499,14.018
276,3.82,0.524,15.488
338,3.99,0.537,16.594
412,4.21,0.544,18.031
487,4.38,0.541,19.308
566,4.50,0.571,20.429
646,4.59,–,21.445
724,4.83,–,23.188
804,4.97,–,24.512
879,5.12,–,25.879
