0,1,2,3,4,5,6,7,8,9,10
"Composition (wt%) 
Alloy 
Zn 
Mg 
Cu 
Co 
Zr 
Ni 
Cr 
Li 
O 
C",,,,,,,,,,
Rapid solidification,,,,,,,,,,
"7090 
7091 
CW67 
7064","8.0 
6.5 
9.0 
7.4","2.5 
2.5 
2.5 
2.4","1.0 
1.5 
1.5 
2.1","1.5 
0.4 
- 
0.75","- 
- 
0.14 
0.3","- 
- 
0.1 
-","- 
- 
- 
0.15","- 
- 
- 
-","- 
- 
- 
0.2","- 
- 
- 
-"
Mechanically alloyed,,,,,,,,,,
"Al-9052 
- 
4.0 
- 
- 
- 
- 
- 
- 
0.5 
1.1 
AMC500 (1) 
- 
4.0 
- 
- 
- 
- 
- 
1.3 
0.4 (2) 
1.1 (2)",,,,,,,,,,
"Key:  
Aluminium‐Lithium alloy, AMC 500. [See also: 46.4]. 
 
Approximate values.",,,,,,,,,,
