0,1,2,3,4
Alloy,"Heating/Cooling
Rate","On Heating-
Liqsuidus","Eutectic
Solidification","STR °F = (Solidification
Temperature Range)"
NASA HR–1 powder,10 °C/min,2516 °F,2320 °F,196 °F (2516 – 2320 °F)
"LP–DED NASA HR–1, as–built",10 °C/min,2521 °F,2370 °F,151 °F (2521 – 2370 °F)
"LP–DED JBK–75, as–built",10 °C/min,2554 °F,2358 °F,196 °F (2554 – 2358 °F)
