0,1,2,3,4,5,6,7,8
Element,,Md (eV),Element,,Md (eV),Element,,Md (eV)
3d,Ti,2.271,4d,Y,3.817,5d,Hf,3.020
,V,1.543,,Zr,2.944,,Ta,2.224
,Cr,1.142,,Nb,2.117,,W,1.655
,Mn,0.957,,Mo,1.550,,Re,1.267
,Fe,0.858,,Tc,1.191,,Os,1.063
,Co,0.777,,Ru,1.006,,Ir,0.907
,Ni,0.717,,Rh,0.898,Others,Al,1.900
,Cu,0.615,,,,,Si,1.900
