0,1,2
"OPS
Reference",Architecture,"Total
layers"
E 1.2,"2 CVD layers, one multifunctional layer, 2 CVD layers",5
E 2.2,"2 CVD layers, two different multifunctional layers, 2 CVD
layers",6
E 3.2,"2 CVD layers, three different multifunctional layers, 2
CVD layers",7
