0,1
Attributes,Limitations
"Low density: 1860 kg/m3 
Exceptional strength & stiffness: E = 303 GPa. 
High temperature stability 
Excellent electrical & thermal conductivity 
Low coefficient of thermal expansion","Brittleness 
Notch sensitivity 
Modest fracture toughness 
Toxicity of beryllium oxide"
