0,1,2
Type,Material,Comments
Particulate,HfO,"Severe degradation during fabrication or
subsequent thermal soak."
,ZrO,
Whisker,SiC,[See: 48.4]
,"Si N
3 4",
,Sapphire,
,Alumina,
"Continuous
wires †",Mo,Attacked by Ni during fabrication.
,Nb,-
,"(ThO )W
2",Less affected by matrix.
,W-Hf-C,Newer materials. Higher strengths.
,"W-Hf-Re-
C",
Key: † Typical diameter range: 100m to 500m.,,
