0,1,2
Metal,Attributes,Disadvantages
Niobium (Nb),"Ductile
High melting point","Modest oxidation
resistance"
"Molybdenum
(Mo)","Ductile
High melting point","Modest oxidation
resistance"
Tantalum (Ta),"Ductile
Very high melting point
Good thermal conductivity","Modest oxidation
resistance"
Rhenium (Re),"Ductile
Very high melting point
High strength","Modest oxidation
resistance
High density"
Tungsten (W),"Ductile
Very high melting point
High thermal conductivity
High strength","Brittle below 400C
High density"
Platinum (Pt),"Ductile
Very oxidation resistant","Expensive
High density"
Rhodium (Rh),"High thermal conductivity
High strength",Very expensive
Iridium (Ir),"Very oxidation resistant
Ductile
High strength
High melting point","Expensive
High density"
