0,1,2,3,4,5,6,7,8,9,10
Filament,Matrix,"Fibre vol
(%)","Diffusion
barrier coating","Fibre
angle (°)","Test temp
(°C)","0.2% YS
(MPa)","UTS
(MPa)","E
(GPa)","Elong.
(%)","R of A
(%)"
"W-2%Th0
2","MAR M 332C
''","33
35","-
-","0
0","RT
900","-
-","345
590","-
-","0.2
4.9","-
-"
,"MAR M 322D
''
''
''","43
44
40
44","-
-
-
-","0
0
0
0","980
1093
1150
1315","537
488
392
96","545
520
420
103","-
-
-
-","4.7
3.2
4.0
-","-
-
-
-"
,"MAR M 322E
''
''","40
38
40","-
-
-","0
0
0","980
1093
1150","537
419
392","545
434
448","-
-
-","-
-
-","-
-
-"
"-
-","MAR M 332C
only","-
-","-
-","-
-","RT
1093","710
214","-
214","-
-","0.5
3.6","-
-"
"-
-
-","MAR M 322E
only","-
-
-","-
-
-","-
-
-","RT
900
980","303
276
110","448
386
117","-
-
-","9.0
18
-","-
-
-"
"W-2%Th0 only
2","-
-
-
-","-
-
-
-","-
-
-
-","-
-
-
-","RT
650
870
1093","-
-
-
-","2170
1791
1780
1309","-
-
-
-","-
-
-
-","6
30
28
25"
