0,1,2,3,4,5,6,7,8
Material grade,"E = E
x y
(MPa)","G
xy
(MPa)",xy,"ρ
(g/cm3)","
(1/K)","S = S
x,t y,t","S = S
x,c y,c","S
xy"
C/C-SiC XB,60000,15000,0.05,1.9,110-6,72,225,54
C/C-SiC XT,60000,15000,0.05,1.9,110-6,150,205,60
C/C-SiC XT (1),60000,15000,0.05,1.9,110-6,150,250,60
Key: (1) in‐plane bending,,,,,,,,
