0,1,2
Alloying element,"Range
(approx. weight.%)",Effect on structure
Aluminium (Al),2 to 7, - stabiliser
Tin (Sn),2 to 6, - stabiliser
Vanadium (V),2 to 20, - stabiliser
Molybdenum (Mo),2 to 20, - stabiliser
Chromium (Cr),2 to 12, - stabiliser
Copper (Cu),2 to 6," - stabiliser
 and  strengthener"
Zirconium (Zr),2 to 8,[See: 47.2]
Silicon (Si),0.05 to 1,Improves creep resistance
