0,1,2,3,4,5,6,7,8,9
Alloy Powder,Fe,Ni,Cr,Mo,V,W,Co,Ti,Al
NASA HR–1,39.80,34.00,15.50,2.20,0.32,2.10,3.30,2.50,0.25
JBK–75,51.13,30.20,14.75,1.25,0.30,–,–,2.10,0.25
