0,1,2,3,4,5,6,7,8
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Single-Laser 
AM Printer 1",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,-320,-196,118.3,815.3,183.5,1265.2,49.0,4
,75,24,83.1,573.3,127.9,881.5,44.6,7
,800,427,68.0,468.8,99.0,682.6,40.0,2
,1200,649,61.5,424.0,94.8,653.3,43.0,2
,1600,871,33.1,227.9,40.3,277.5,62.0,2
,1832,1000,21.8,150.3,23.2,159.6,45.5,2
,2000,1093,15.9,109.9,16.7,115.0,21.6,9
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Single-Laser 
AM Printer 2",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,75,24,76.0,524.0,115.2,794.0,45.5,18
,400,204,55.1,380.1,95.3,656.7,,4
,800,427,52.0,358.5,87.4,602.4,,4
,1000,538,59.0,406.7,88.1,607.2,41.9,8
,1200,649,46.4,319.9,82.9,571.4,,4
,1600,871,27.2,187.2,36.4,250.6,,4
,1800,982,19.2,132.2,22.8,157.0,,4
,1900,1038,19.0,131.0,19.3,133.1,,4
,2000,1093,14.9,103.0,15.6,107.7,39.6,17
,2100,1149,13.0,89.8,13.2,91.3,23.9,10
,2200,1204,10.7,73.6,11.1,76.3,13.2,6
,2300,1260,8.7,59.9,9.4,64.5,13.0,6
,2400,1316,6.1,41.8,7.1,49.1,6.6,6
"Machine
Test Temperature
Avg. 0.2% Yield Strength
Avg. Ultimate Tensile Strength
Avg. Elongation
Tested Samples",,,,,,,,
"Single-Laser 
°F
°C
ksi
Mpa
ksi
Mpa
%
#
AM Printer 3
75
24
90.0
620.5
114.0
786.0
56.5
3
1000
538
67.2
463.3
90.5
624.2
55.8
3
2000
1093
13.4
92.2
14.9
103.0
40.8
3",,,,,,,,
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Multi-Laser 
AM Printer 1",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,75,24,75.5,520.7,115.5,796.3,48.0,16
,400,204,62.7,432.3,96.2,663.5,47.9,16
,800,427,58.4,402.4,89.6,618.0,48.7,16
,1000,538,56.5,389.6,84.8,584.3,48.5,6
,1200,649,53.1,365.9,84.8,584.9,50.2,16
,1400,760,48.3,332.7,61.3,422.9,102.2,6
,1600,871,30.1,207.7,37.3,257.0,98.8,16
,1800,982,20.3,140.0,22.4,154.2,81.4,16
,1900,1038,16.6,114.5,17.8,122.7,68.0,10
,2000,1093,13.7,94.7,14.5,100.0,53.5,19
,2100,1149,12.1,83.1,12.3,84.9,,6
,2200,1204,9.3,64.3,9.5,65.7,,6
,2300,1260,7.4,50.9,7.7,52.9,,7
