0,1,2
Property, ‐ processed, ‐  processed
Tensile strength,Moderate,Good
Creep strength,Good,Poor
Fatigue strength,Moderate,Good
Fracture toughness,Good,Poor
Crack growth rate,Good,Moderate
Grain size,Large,Small
