0,1,2
"Maximum cyclic temperature
(°C)","RT tensile strength
(MPa)",Replicates
Control,772,3
850,785,3
1000,655,2
1090,489,2
"Key: Material ‐ 4 ply 218 CS Tungsten fibre in Fe‐22Cr‐5.5Al matrix. Unidirectional. 37% fibre
volume.",,
