0,1,2,3
Composition,Company,Notes,
Fe-40Al (at.%),-,-,-
Fe-40Al-0.1Zr-0.2B (at%),"Case Western 
Uni/NASA-Lewis",Zr (or Hf):,"Increase strength to 
700°C, typ. & maintain 
ductility."
,,B:,"Aid low temperature 
ductility."
"Fe-40Al-0.1Zr-0.2B + 
1vol%Y2O3","Case Western 
Uni/NASA-Lewis",Y2O3:,"Improve high 
temperature strength by 
ODS, but maintain 
ductility."
"Key: 
at.% ‐ Atomic percent; 
vol% ‐ Volume percent; 
ODS ‐ Oxide dispersion strengthened.",,,
