0,1,2,3
Properties,Material,,
,METSIC™,Al 6061‐T6,1010 Steel
Matrix,Al,-,-
Reinforcement (%),40 SiC,-,-
"Ultimate tensile strength 
(MPa)",300-400,310,365
Young’s modulus (GPa),150,69,205
Density (kg/m3),3000,3000,8000
Thermal expansion (ppm/K),10-12,23.6,12.2
"Thermal conductivity 
(W/m.K)",185,167,49
Suppliers’ data.,,,
