0,1,2,3,4,5,6,7,8,9,10,11,12
"Inter-
national",Alloy,UK,France,Germany,,Italy,,Sweden,Spain,Switzerland,CIS,EUROPE
AA,Type (1),Old BS,Old NF,Werkstoff,DIN,Old UNI,"New 
UNI",SIS,UNE,,,CEN (2)
1050A,Al99.5,1B,A5,3.0255,Al99.5,-,9001/2,4007,L-3051,Al99.5,-,AW-1050A
1080A,Al99.8,1A,A8,-,Al99.8,-,9001/4,4004,L-3081,-,-,AW-1080A
1199,-,1,A9,-,-,-,-,-,-,-,-,AW-1199
1200,Al99,"1C, 6L16, 6L17, 4L34",A4,3.0205,Al99,3567,9001/1,4010,L-3001,Al99.0,A0,AW-1200
1350,[Al99.5],"1E, G1E",A5L A5B,3.0257,E-Al,-,9001/5,-,-,E-Al99.5,-,AW-1350
2011,Al Cu6 Bi Pb,FC1,A-U5 Pb Bi,3.1655,Al Cu Pb Bi,6362,9002/5,4355,L-3191,Al Cu6 Pb Bi,-,AW-2011
2014A,Al Cu4 Si Mg,"H15, 
L-grades; DTD.",A-U4 S G,3.1255,Al Cu Si Mg,3581,9002/3,4338,L-3130,"Al Cu4 Si 
Mg",-,"AW-2014A 
P-2014A"
2017A,Al Cu4 Mg Si,"L93, L94",A-U4 G,3.1325,Al Cu Mg1,-,,-,-,-,-,"AW-2017A 
P-2017A"
2024,Al Cu4 Mg1,"2L97, 2L98 DTD-5090, 
-5100A, (AMD2433)",A-U4 G1,3.1355,Al Cu Mg2,3583,9002/4,,L-3140,"Al Cu4 
Mg1.5","D16 
1160","AW-2024 
P-2024"
2030,[AlCuPbMg],-,A-U4Pb,3.1645,AlCuMgPb,-,-,-,-,-,-,AW-2030
2031,[AlCu2Ni1 MgFeSi],H12,A-U2 N,-,-,-,-,-,L-3160,-,-,-
2117,Al Cu2 Mg,3L 86,A-U2 G,3.1305,Al Cu Mg0.5,3577,9002/1,-,L-3180,-,D18,"- 
P-14"
2214,[AlCu4SiMg],-,"Air-9048-
610, -620.",-,AlCuSiMn,-,-,-,-,-,-,P-2214
2218,{AlCuNi],6L25,A-U4N,-,-,-,-,-,L-315,-,-,-
2524,[AlCu4Mg],-,-,-,-,7250,-,-,-,-,1163,-
2618A,-,"H16, DTD","A-U2 G N, 
Air-9048-640",3.1924,,3578,9002/6,-,L-3171,-,AK4-2,"AW-2618A 
P-2618A"
3103,Al Mn1,"N3, NS3",A-M1,3.0515,Al Mn,3568,9003/3,4054,L-3811,Al Mn,1400,AW-3130
3105,-,"N31, NS31",A-MG05,3.0505,"AlMn0.5Mg0
.5",3103,9003/5,-,L-3831,-,-,AW-3150
4043,[AlSi5],N21,A-S5,3.2245,-,-,-,-,-,-,-,-
4047,[AlSi12],N2,A-S12,-,AlSi12,-,-,-,-,-,-,-
5005,Al Mg1,N41,A-G0.6,3.3315,AlMg1,5764,9005/1,4106,L-3350,-,1510,AW-5005
5056,Al Mg5,"N6, 
2L58, 2L59","A-G5, 
A-G5M",3.3555,Al Mg5,-,-,4146,L-3320,-,1550,"AW-5056 
P-32"
5083,Al Mg4.5 Mn,N8,A-G4.5M C,3.3547,Al Mg4.5 Mn,7790,9005/5,4140,L-3321,Al Mg4.5Mn,,AW-5083
5086,Al Mg4Mn,-,-,-,AlMg4Mn,5452,9005/4,-,-,Al Mg4Mn,-,"AW-5086 
P-5086"
