0,1
"Precursor material 
€ per kg",
Fibres,
"Carbon 
Silicon carbide fibres 
Silicon carbide monofilaments 
Alumina fibres","15-300 
500-750 
400-1500 
500"
Metals,
"7XXX series Al alloys (Wrought) 
8090 Al/Li alloy (Wrought) 
Titanium 6Al-4V alloy (Wrought) 
Aluminide powder","6-8 
15-18 
30 
150-1500"
"Composites 
 
(Flat sheet for test specimens)",
"Silicon carbide fibre reinforced aluminium 
>750 <1500 
SiC-SiC ceramic matrix composite 
>2200 <5000 
Carbon-Carbon composite 
750-1500",
Date: 1992,
