0,1,2,3,4,5
Property,SiC Matrix processing method,,,,
,LPI,"Gradient
CVI",LSI,PPP †,
,,,,RT,1500°C
Fibre volume fraction Vol.%,40,42 - 47,-,-,-
Porosity Vol.%,23,10 - 15,3.5 (open),-,-
Density g/cm3,1.8,2.1 – 2.2,1.9,1.8,1.8
Tensile strength MPa,260,270 – 330 †,-,270,320
Rupture strain %,1.2,0.6 – 0.9,-,-,-
Flexural strength MPa,365,450 - 500,160,530 *,610 *
 Compression strength MPa,365,450 - 570,-,370,470
 Shear strength MPa,30,45 - 55,28 ‡,20 ‡,20 ‡
Young’s modulus GPa,55,90 - 100,60,60 - 80,60 - 80
 CTE 10-6 /K,2.3,3,"-1.0 / 2.5
(1)",-,-
 CTE 10-6 /K,-,-,"2.5 / 6.5
(1)",-,-
"LPI: Liquid Polymer Impregnation; CVI : Chemical Vapour Infiltration; LSI : Liquid Silicon
Key
Infiltration; PPP: Polymer Pyrolysis Process.
 : longitudinal;  : transverse; †: [0°/90°] lay‐up; ‡: ILSS; *: 4‐point bend; (1): CTE 100°C/1500°C",,,,,
