0,1,2,3
Properties,"MCX‐
1195",MCX‐1405,MCX‐1605
"Ultimate tensile
strength (MPa)",226,239,295
"Young's modulus
(GPa)",151,125,106
Poisson's ratio,0.28,0.29,0.31
Density (kg/m3),2870,2800,2770
"Coefficient of
thermal expansion
(ppm/K)",11.9,14,16.2
"Specific heat
(J/kg.K)",763,830,890
"Thermal
conductivity
(W/mK)",183,165,132
Supplier’s data.,,,
