0,1,2,3
Compound,Advantages,Disadvantages,Notes
"Single-
phase
-TiAl",Density,Brittle,-
"Single-
phase
-Ti Al
3",Density,-,"Additions of Nb to achieve
ductility but increase density."
,,"Oxidation
tolerance.","For applications >700°C, coating
advised."
"Two-phase
-TiAl",Density,-,"Contains both TiAl and Ti Al
3
compounds giving a controlled
amount of each phase, i.e.  and 
2
in the resulting microstructure."
