0,1,2,3
Type,Chemical compound,Melting point (°C),Density (kg/m3)
"Titanium
Aluminide
[See: 49.5]","Ti Al
3
TiAl","1600
1460","4200
3900"
"Nickel Aluminide
[See: 49.3]","Ni Al
3
NiAl","1390
1640","7500
5900"
"Iron Aluminide
[See: 49.7]","Fe Al
3
FeAl","1540
1330","6700
5600"
