0,1,2,3
LP-DED NASA HR–1 (final formulation) – Density: 8.09 g/cm3,,,
"Temperature
(°C)","Thermal Diffusivity
(mm2/sec)","Specific Hea
(J/gK)","Thermal Conductivity
(W/mK)"
25,3.25,0.509,13.6
100,3.49,0.505,14.5
200,3.82,0.527,16.5
300,4.15,0.547,18.5
400,4.45,0.560,20.2
500,4.74,0.576,22.0
600,5.01,0.611,24.5
700,5.32,0.639,27.1
800,5.39,0.673,28.8
900,5.49,0.71,30.8
1000,5.76,0.74,33.4
