0,1,2,3
"Material
grouping","Developing
technology",End user,"Material/product
supplier"
"Magnesium
compositions",-,-,"Magnesium
Electron, UK
(MMC)"
"Aluminium
compositions","AMS Ltd., UK. (MMC)
Raufoss A/S, Norway
(ODS)","Aerospatiale, F. (All)
MBB, G. (All)
British Aerospace, UK
(All)","BP MMC Ltd.,
UK (MMC)
Alcan, UK
(MMC, Al/Li)
Pechiney, F.
(Al/Li)"
"Titanium
compositions","BP Ltd., UK. (Ti/SiC)","Rolls Royce, UK
SNECMA, F.
MTU, G.
British Aerospace, UK
(SPF/DB)
Dornier Luftfahrt, G
(SPF/DB)","IMI,UK"
"Superalloy
compositions",-,"Rolls Royce, UK. (All)
SNECMA, F. (All)
MTU, G. (All)","INCO Alloys, UK"
"Intermetallics
(IM)
Beryllium(Be)","Max-Plank Institute,
G. (IM)
ONERA, F. (IM)",-,"Brush Wellman
(Be)
Interatom, G.
(Be)"
"Glass matrix
and Glass-
ceramic
composites","GEC Alsthom, UK
Rolls Royce, UK",-,-
"Ceramic matrix
composites","SEP, F.
Dornier, G.","SEP, F.","SEP, F."
"Carbon-Carbon
composites","MBB, G.","Aerospatiale, F.","Dunlop Aviation,
UK
Le Carbone, F.
Aerospatiale, F."
