0,1,2
"Typical composition range 
(atomic%)",Effect of ʹdopingʹ or ʹmicro‐alloyingʹ elements,
"Ni-base; Al 18±2; Cr 8±2; Zr 
(or Hf)1.0±0.8; B 0.15±0.1",Cr,"Reduces dynamic embrittlement 
in oxidising atmospheres at high 
temperatures."
,Zr or Hf,"Improves high temperature 
strength by solid solution 
hardening."
,B,"Improves grain boundary strength 
& ductility at ambient 
temperatures."
"Ni-base; Al 18.5±1.5; Fe 
13.5±2.5; 
Cr 5.5±2.5; Zr (or Hf) 0.25±0.15; 
B 0.1±0.04",Fe,Improves hot working ability.
,C & Ce,"Small additions to control grain 
size & improve hot ductility."
